Comentario,Avaliacao,Sentimento
"Produto excelente, chegou antes do prazo!",5,Positivo
"O atendimento foi ótimo, recomendo.",4,Positivo
"A qualidade é muito ruim, não recomendo.",1,Negativo
"Demorou muito para chegar, mas o produto é bom.",3,Neutro
"Completamente satisfeito, voltarei a comprar.",5,Positivo
"Esperava mais, não correspondeu às expectativas.",2,Negativo
"Produto chegou com defeito, muito frustrado.",1,Negativo
"Bom custo-benefício.",3,Neutro
"Atendeu bem às necessidades, satisfeito.",4,Positivo
"Recebi o que foi prometido, nada além disso.",3,Neutro
"Excelente, superou minhas expectativas!",5,Positivo
"Muito ruim, devolvi o produto.",1,Negativo
"A entrega foi rápida, mas o produto é mediano.",3,Neutro
"Serviço péssimo, atendimento horrível.",1,Negativo
"Gostei bastante, compraria novamente.",5,Positivo
"Produto de baixa qualidade, não recomendo.",1,Negativo
"A entrega atrasou bastante.",2,Negativo
"Produto razoável, mas poderia ser melhor.",3,Neutro
"Satisfeito com a compra.",4,Positivo
"Desapontado com a experiência de compra.",2,Negativo
"O produto veio como descrito, boa qualidade.",4,Positivo
"Excelente custo-benefício, recomendo!",5,Positivo
"Produto chegou com falhas.",1,Negativo
"Boa qualidade pelo preço.",4,Positivo
"Entrega rápida, produto de qualidade mediana.",3,Neutro
"Completamente insatisfeito, não volto a comprar.",1,Negativo
"Perfeito, tudo conforme o anunciado.",5,Positivo
"Produto danificado, atendimento ruim.",1,Negativo
"Preço justo para a qualidade.",3,Neutro
"Altamente recomendável, qualidade excepcional.",5,Positivo
"Não valeu o preço pago.",2,Negativo
"Superou as expectativas, excelente!",5,Positivo
"Entrega muito lenta.",2,Negativo
"Produto com ótimo acabamento e qualidade.",5,Positivo
"Atendeu bem ao propósito.",4,Positivo
"Insatisfeito, esperava mais qualidade.",2,Negativo
"Produto abaixo do esperado.",2,Negativo
"Recebi o que foi anunciado, sem surpresas.",3,Neutro
"Muito feliz com a compra, recomendo!",5,Positivo
"Não recomendo, produto muito ruim.",1,Negativo
"Vale o preço pago.",3,Neutro
"Produto excelente, recomendo sem dúvidas.",5,Positivo
"Experiência ruim, produto com defeito.",1,Negativo
"A entrega foi eficiente e o produto é bom.",4,Positivo
"Produto de péssima qualidade.",1,Negativo
"Recebi tudo conforme combinado.",4,Positivo
"Produto funcional, atende bem.",3,Neutro
"Decepcionado com o produto.",2,Negativo
"Excelente produto, entrega rápida.",5,Positivo
"O produto é razoável, cumpre o que promete.",3,Neutro
"Produto veio sem defeitos, qualidade ok.",3,Neutro
"Muito bom, superou minhas expectativas.",5,Positivo
"Produto frágil, qualidade baixa.",1,Negativo